fen,eval_cp
r7/pk3n2/4p3/7p/b6P/4p3/1P6/R3K1R1 w - - 0 37,185
rnb1k1nr/pppp1pp1/3P3p/8/8/6P1/PPPPP2R/RNBQKBN1 w Qkq - 0 6,833
1nr5/5kp1/1ppp4/4pP1p/N1P4P/Pr3n2/4P1B1/3K1R2 w - - 0 32,-420
6n1/5bp1/5bk1/3R1p1p/p4P2/P5P1/r3P2P/3K1B1R w - - 0 32,-477
rnb2kr1/1p1p1ppp/1p2pq2/5N2/p3PPn1/bPN3P1/P1PP3P/R3KB1R b KQ - 1 12,731
rnb2bnr/3pkpp1/p1P5/q3pPp1/PP1P4/N7/4PKPP/R3QBNR b - - 0 12,277
1rb2knr/1p6/n2P2p1/p7/P6p/P2PppPN/2P5/R4K1R w - - 0 19,-542
1rbqk1nr/1pp2ppp/p3p3/3p4/4P3/P1NK1n2/PBP3PP/R2Q1BNR b k - 1 9,90
r1b1kbnr/pppp1ppp/4p3/n7/P6R/R5P1/1PPPPP2/1NBQKBN1 b kq - 0 5,-629
4k1n1/2B3r1/6n1/2bp4/8/5P2/4P1B1/4K1R1 b - - 2 37,613
rnbqk1nr/pp1p4/2p1pp1p/6p1/P1PP3P/BPb3P1/4PP2/R2QKBNR w KQkq - 0 9,-673
rnbqk1nr/1pp4p/3Rpp2/2b1P3/7p/5P2/1PPPN1PR/1NBQKB2 b kq - 0 9,293
rnbqkbnr/p2ppp1p/6p1/1p6/1p4P1/8/PBPPPP1P/RN1QKBNR b KQkq - 1 5,69
8/1p2n3/8/p2r1Pk1/2p5/P1n1K3/RP4B1/6N1 w - - 1 38,236
8/r1kr4/6p1/p6p/1P5p/2P5/7R/1N2K3 b - - 0 38,566
r1b2bnr/pp2pk1p/3Pq3/2P2pp1/5BP1/3B1P2/PPP1Q2P/RN2K1NR b KQ - 1 12,-358
6n1/5k2/8/5P2/2PpR2P/p4P2/4B1R1/K7 w - - 0 40,781
r3k3/p3p3/3p1p1b/2nr4/1P6/3P1P2/3NB3/2B1K3 w - - 1 25,-551
1k6/8/b4b1p/8/1Pp3P1/B4K1N/P2P4/6R1 w - - 0 39,533
5n1k/7r/1p1p4/2r4p/p2p3p/7P/PP3RK1/RN6 b - - 3 40,462
r1b1k2r/1ppp2p1/p3p2p/4np2/1Pn2K2/b5QP/P1P1PPPR/R1BN1BN1 b kq - 1 14,472
k5n1/7R/r2p4/p1p5/2P5/8/P4P2/4K3 w - - 4 35,-26
5k1r/rp6/3P2pp/6Q1/4Pp2/8/2P3b1/4K1R1 w - - 0 31,5000
r1b1kbnr/ppnpp3/8/2P3pp/P5p1/2P1P2P/3B1P2/RN1QKBNR b KQkq - 0 10,-641
1r2k3/pp1nbp2/n2p4/2pP2p1/P4P2/4P2b/1qPB3R/R3K1N1 b Q - 0 18,1385
3k1br1/p3p1p1/np3p2/3p4/2rp4/6Q1/PP2PP1P/RNBK2NR b - - 3 17,-701
1n6/3k1p2/1Pp5/2B1n3/6p1/NK6/4N3/1r6 w - - 4 34,21
3rkbr1/1pp1pp1p/6pn/p2p3P/3P4/1P3NPN/1RPBPP2/4KB2 w - - 0 14,347
1nq1kb1r/4p1p1/3p1p1p/1P6/5P2/7N/1BP1B2R/RN2K3 w Qk - 3 18,251
r7/1b2r3/1p6/p4p2/P4K1k/b1P5/8/RN6 b - - 1 38,5000
5kn1/n7/p5pB/1r1N4/8/3K2PP/PP3P2/R5R1 b - - 3 32,-502
3q4/3pn1k1/8/6p1/1r6/4Pp2/8/Q1B1NK2 b - - 9 34,282
r3kbn1/pp1npp1r/6p1/7p/3P4/2P3P1/P4P1P/1N1K2NR b q - 2 13,782
1n6/r4p2/1k1p4/pPb4p/3B4/8/RPP1PN1P/1N1K1B1R b - - 2 24,-816
rn1qkbnr/1bpppppp/p7/8/p5P1/8/PPPPPP1P/1RBQKBNR w Kkq - 2 5,-521
1q4nr/7p/2k3P1/3p4/1P6/2b2N1b/4P2P/2R2K1R w - - 2 31,-524
1r2kb2/p3pn2/1p4r1/2pp3p/5PP1/PP1n3N/2PP3P/RNB2RK1 w - - 1 23,137
2b2k2/3p4/8/1p4P1/4r3/Q1K3B1/6P1/5B2 b - - 1 40,-387
r1bqk1nr/7p/1p1Qp2B/p1P5/P3P3/2P5/3KP1P1/RN3BN1 w - - 1 19,589
2b1kbnr/3ppp2/4Q3/6pp/8/2PP4/r2NPPPq/2B1KBNR b Kk - 0 14,378
r1bqkbnr/ppppp1pp/n7/5p2/8/5NPP/PPPPPP2/RNBQKB1R b KQkq - 2 3,-55
2b1Qbr1/4p1p1/6n1/5k1p/5P2/5P1p/1B6/1N2K3 w - - 5 30,5000
2b1k2r/3qn3/r1p4p/1p1Bp2P/pP6/P4KP1/2PN1P2/R6R b - - 0 26,901
1nb1k3/5r1p/pp1p4/6B1/5N2/P2P1PPP/8/1b2K3 w - - 1 31,-580
7r/1b1pbk1p/1qn1pp1P/2R5/QBP1P3/5PPN/3P4/R4K2 b - - 1 21,325
1r6/pr2Bk2/4p3/1P4Pp/1K6/1N6/4P1B1/4R3 w - - 7 38,620
1nbk1b1r/1p2p2p/2p1p1pn/1r6/6PR/P6B/R2P4/2BK2N1 b - - 1 24,655
3qkbnr/2p1pppN/3p4/1p5p/r3b3/3P4/5PPP/RN2KB1R w KQk - 0 12,-679
r1b3n1/3p4/Bp1n4/4k1N1/P3P2r/1P1P2p1/R1K2P1P/1N6 w - - 1 29,-185
2bn1q2/p6n/1pp2p1p/3Pk3/8/NKQBp3/1P5P/1R4NR b - - 1 31,-750
rnbqk1nr/pp1p2p1/2p1p2p/8/2B4P/P4P2/P1PP1P1R/R1BQ1K2 w kq - 1 12,-414
1n1k1b1r/4p1p1/bp6/4Qp1p/3PB3/4B1PP/5P2/1R1K2NR b - - 2 19,-859
4kb1r/Q4p2/8/1pPpp2p/7P/Pp6/1P2K1P1/R4BN1 w - - 2 28,941
rn1q2nr/4kp2/b1pp1b1p/P3p1p1/2P5/4PPP1/P2P3P/RNBQK1NR w - - 1 13,-422
r2q1k2/p1pp1pn1/3bp3/5Q1p/P2P3P/5PP1/RPP1B2R/4K1N1 b - - 0 16,724
r3q3/1ppbkp2/p7/P1p2p1p/3Q3P/1P1p1P2/7b/5KNR w - - 2 34,-516
rnbqkbnr/1pppp2p/6p1/p4p2/2P5/N4N2/PP1PPPPP/R1BQKB1R w KQkq - 0 4,29
rnbqkbn1/pp1pppp1/2p4r/7p/1P6/3PP3/P1P2PPP/RNBQKBNR w KQq - 1 4,49
r1bqkbnr/pppppp2/2n4p/6p1/QPP5/8/PB1PPPPP/RN2KBNR b KQkq - 1 4,-188
r3kb1r/pppb3p/8/3qN1N1/3n2p1/2P5/PP1P1PPP/R1B2K1R b kq - 0 14,865
r1qk1b1r/p2npp1p/1pb4n/3p1BN1/pP2P3/6P1/P1PP1P1P/R1B1K2R w KQ - 0 14,-760
1nbqkbnr/rppp1p2/6p1/p3p2p/3P4/1PP2P2/P2KP1PP/RNBQ1BNR w k - 0 6,24
r3k1r1/3np1bp/b1p5/P2p4/P6p/2P1KP1P/1BRP1P2/RN6 b - - 0 29,670
rnb1kbnr/pppp1ppp/4p3/8/N7/4P3/PPPP1qPP/R1BQKBNR w KQkq - 0 4,663
r2qk1nr/2p1bpp1/p2p4/4K2p/3N1P2/1PBPPN2/6PP/3Q1B1R w kq - 0 18,-5000
r2R4/4k3/8/7n/P1n5/1P1Pp1K1/8/8 w - - 6 41,-522
4rk2/p7/1pp2p2/8/6P1/4b3/P3PQK1/4RBNR w - - 5 30,5000
3rk2B/Rbpp1p2/4p3/1p5p/2PP4/1P2PP1P/7R/1NKQ1BN1 b - - 0 20,-1000
r1b3nr/p2pk1pp/5p2/1p6/4K2P/2PPb1B1/4P1PR/1N3BN1 b - - 5 20,711
rnbqkbnr/pp2pNp1/2p4p/3p4/8/3PP3/PPP2PPP/RNBQKB1R b KQkq - 0 5,283
rnbqkbnr/p1pppp1p/1p6/6p1/4P2N/8/PPPP1PPP/RNBQKB1R b KQkq - 0 3,322
4kbr1/6p1/r2p1p2/1p1p3p/pP2b1PP/2P3R1/5K2/R5N1 w - - 1 28,-520
8/8/5pk1/6Rp/3p3P/3K2P1/8/8 b - - 6 38,12
r4b1r/1pp1p1pp/3qb3/p2p2n1/P5kP/2P3N1/1P3K1R/R1B5 b - - 0 21,1002
rn1qkbnr/p3pppp/1p6/2pb3P/8/3P4/PPP2PP1/RNBQKBNR w KQkq - 0 6,56
r3kr2/1b1pb1p1/4pp2/p2q1P2/2P3P1/3P4/PPn1B3/1RBK2N1 b q - 0 23,820
rnbqkb1r/pp1ppppp/2p4n/8/5N1P/8/PPPPPPP1/RNBQKB1R b KQkq - 0 3,124
rnbqkbnr/pppp2pp/4p3/5p2/3P2P1/8/PPP1PP1P/RNBQKBNR w KQkq - 0 3,57
8/6K1/nkpp4/1p6/p2R2B1/1PP5/P3N2B/RN6 b - - 3 30,-936
rn1qkbN1/pp2p1r1/6p1/2pp1b1p/7P/3P4/PPP1PPP1/RNBQKB1R w KQq - 1 8,429
7k/7p/4p3/4p1p1/7n/p4B1P/P2KNP2/7R b - - 6 40,-564
8/7p/4p3/3p2k1/1r1B4/NP1PPp2/P2K4/R4B1R b - - 1 34,-835
rnqk1bn1/p1p1ppp1/1p6/3p4/8/5P1N/PPPPP1PR/RNBQKB2 b Q - 3 7,-671
k7/5p2/1n2R2b/2p2r2/Q2p4/1P1P4/7K/8 b - - 7 40,473
b5k1/2B1n1pr/1K2p3/8/N2p4/1P3P2/1P6/8 b - - 4 40,611
1k6/1b1p4/7p/p1P3p1/3N2P1/P1P1P2K/2n4P/7R w - - 3 37,480
4k1n1/pb1q4/n4pp1/6r1/2r4P/B4P2/PK4PR/5NN1 b - - 1 23,5000
1r6/pb1k1p2/2p1p1p1/3p2Pn/1p6/1P1P4/P1PNK1Bq/1R1Q1R2 w - - 7 30,270
1n4k1/4r3/7p/7P/2N1pP2/P6b/6R1/R4K2 b - - 1 32,-30
8/2p4p/R1bb2p1/3p2k1/6PP/3PP3/2NP2R1/3K4 b - - 0 32,-725
r1b5/1N2k3/4p3/p2p3p/4pP2/1P1P4/P1P1P2K/6RR b - - 0 32,-503
rn3b1r/p3k1pp/7n/1pp1PB2/8/PP5P/2PK2bR/R1B3N1 b - - 0 17,543
1q3knr/2ppp3/1p4P1/np5p/3PKP1P/R4P2/1PP3B1/2BQ2N1 b - - 0 17,-345
k4b2/7p/1pn5/N3PP2/7P/1P6/PBrq2r1/4RK1R b - - 0 32,5000
2R5/2p5/pbk5/7r/4nP2/NB6/P1K5/7R w - - 6 39,619
5bnr/2p1k3/R2p3p/p2Bp1p1/P7/2PP2P1/1K1P1P2/6NR w - - 0 26,613
rn6/1kr5/1p6/5pp1/1p2P3/5K2/2p3P1/2B3N1 w - - 0 28,-777
rn1qk1nr/p2p1pBp/1ppb4/8/P2Pp3/1P3N1P/2P1KPPR/RN1Q1B2 b kq - 0 11,-252
r1bqkb1r/p1ppp1p1/p1n2n2/5P1p/8/4PP2/PPPPN2P/RNBQK2R b KQkq - 0 6,466
6n1/5pb1/1Q1ppk2/2p4p/1PP1P3/P2P2P1/2n2K2/R1Bb1BN1 w - - 0 23,576
rn2kbn1/1bp1p2r/pp5p/3P1Qp1/1P6/7P/P2P1PP1/RNB1KBNR b KQq - 0 10,-757
rnb1kb1r/4Bp1p/1q6/pp1pp3/3P3P/1PP2NPR/P2P4/RN1Q1K2 b - - 0 15,661
2b5/1pppkp1n/8/8/3p1Pr1/1PP1Pqr1/P2K1P2/4R3 b - - 0 29,1116
rnb2b2/1pp1ppp1/2k5/5n2/p3P2r/P4P2/1PP5/RNB1K1NR w KQ - 0 15,-473
r4bnr/p3pk2/8/7p/PPN1Pn2/R7/7K/7R b - - 1 37,535
rnbk1B2/pp1p4/2P2p2/8/5p2/8/P1PPP3/RNBQ1K2 b - - 0 17,-581
rnb3kr/8/p3p2p/8/1R2P1P1/1P1B3P/6PR/3K2N1 w - - 1 27,275
4n3/p1k5/R2pp3/2r3p1/6P1/1p1K4/6R1/5B2 b - - 2 36,-264
rnbq2nr/1pp1Bk1p/5p1b/p2p4/P6P/1P3p2/2PPP1P1/RNQ1KBNR w KQ - 1 10,610
rnbqkbnr/1pppp1pp/p4p2/8/P7/8/1PPPPPPP/RNBQKBNR w KQkq - 0 3,47
1r2k3/p1np1r1p/2p5/1p6/1PP5/P5P1/R2KB3/1N6 b - - 3 34,482
rnq1kbnr/p1pppppp/8/8/1P5R/5P1N/2PP2PP/1NBQ1K1R b kq - 0 7,188
5b1r/2pb2pp/B2p1k2/8/3P4/1r4P1/2K5/R7 w - - 2 34,-466
r1bqkbnr/pppppp1p/2n3p1/8/8/N4N2/PPPPPPPP/R1BQKB1R w KQkq - 0 3,31
8/4r3/4P2k/8/5P2/1P1RPN1P/n7/2K4R w - - 1 37,739
1n1k3r/4npb1/8/rP1b3p/5q1P/1PP2N2/3PPK2/5B1R b - - 1 25,1021
4k1nr/5pp1/B7/q1b4p/3p2b1/1pn5/1P6/r1B1K2R w - - 0 35,-1091
B6B/8/3k2p1/pp6/P7/N7/1PPK1P2/R7 w - - 4 35,934
rn2qb1r/1p3pp1/pk1p3p/2pP4/3Pb1PP/1P6/P4P2/RNBK1B2 b - - 0 16,815
3r1qn1/pp3kb1/n4N1r/4p1p1/2pPP2P/P7/1PP1RP2/R1BK4 b - - 0 19,823
rnbqkbnr/1p1p1pp1/7p/Q1p1p3/1PP3P1/2N5/P2PPP1P/R1B1KBNR b KQkq - 0 6,470
3q1bb1/4p3/3k4/rPp5/p1P4r/N3P2N/1P2Q3/1RB2K2 w - - 0 28,317
2bk1bR1/1p1p1p2/r3p3/p3P2r/P1qP1P2/p2BBP1p/7P/3RK3 w - - 8 23,265
rn1qkbnr/pppbpp2/3p3p/1P6/P4p2/2N5/2PPP1PP/R1BQKBNR b KQkq - 0 6,146
1r2k3/p3p1b1/br1p1p1n/1p3P2/1n3K2/1R1P4/8/5N2 b - - 5 33,1082
1n2kb2/5ppr/2p5/4p3/r2p4/p4NP1/P5b1/2R2K2 w - - 0 24,-705
1n2k2r/4r3/pp1K2p1/5p2/2PPpPb1/8/P5PP/RNB2BNR w k - 0 19,0
2b5/7k/4p3/1Q1p2P1/4n3/8/5PP1/B2KN3 b - - 2 33,-638
1B2k3/5p2/4r3/pbP4p/8/PP4KP/3PQ1P1/4R1NR w - - 2 29,1009
4r1n1/p1p1k2r/4Nq2/1B1n3p/8/3Q4/P2P2PK/R1B4R w - - 0 29,912
r3k2b/4p3/8/P2pp1p1/q5b1/N1P1P3/5K2/5R2 w q - 0 27,-671
r1bqkbnr/ppp1pppp/2n5/3P4/8/5P2/PP1PP1PP/RNBQKBNR b KQkq - 0 3,36
R2qkb1r/4p3/2n3p1/3n3p/6pP/3p4/1Q2P3/2B1KBNR w Kk - 2 22,702
rnbqkbnr/ppp1pp2/8/1B1p2pp/P7/4PN2/1PPP1PPP/RNBQK2R b KQkq - 1 4,53
rnb4r/ppppkp1p/6p1/4p3/1b2K1Pq/1P3P2/P1PPP2n/RNBQ1BNR b - - 0 9,556
r2q1b2/3kp3/p5R1/2p5/4K3/1p4P1/5P1P/2B3nR w - - 1 30,-565
r1b1k1nr/ppp3pp/4p1q1/5P2/1nP5/7P/1P1PPP2/R1B1KBNR b KQ - 0 12,770
5b2/4p3/p2k1p1p/p7/P6P/2N1Q1p1/RPPB2K1/6NR w - - 4 32,1164
r1bqkbnr/ppppppp1/2n5/7p/3P4/2P2N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,-62
r6r/pb3k1p/2pPp3/qp5n/5P2/2P1P2B/1P2K2P/RN5R w - - 2 20,254
r1bqkbnr/pppnp1pp/3p4/3P1p2/8/4P1N1/PPP2PPP/RNBQKB1R b KQkq - 1 5,-75
3k3b/8/1N2p3/8/3PN2P/P5p1/R2P4/3K4 w - - 2 38,725
4k3/8/5p1p/P3N3/2p3P1/Np1p2R1/3P2P1/4K3 w - - 0 35,806
7r/p1r5/1k3n2/1p1pRpp1/1PP5/7Q/Rb6/1NNK4 w - - 3 39,654
r1bqk1nr/pppp1ppp/n7/2b1p3/3P4/2N3P1/PPP1PP1P/R1BQKBNR w KQkq - 1 4,515
1nbqkbnr/rp2pp1p/p5p1/2Pp4/8/8/PBPPPPPP/RN1QKBNR b KQk - 1 6,-56
6rk/2rRp1b1/5p1p/1Pp5/6K1/1n6/1P1P1q2/2B5 b - - 6 35,5000
2b4r/2k1n3/5ppp/1pP1N2P/2PQP3/1P4PR/1n1K4/5B2 w - - 0 29,908
r2k1b1r/1p2p1p1/n7/p1P2p1p/P5b1/3P4/1PPB1P1P/RN2KBNR b KQ - 1 13,-494
2bqkb2/r1p1n3/pp2p1p1/8/1PPnpP2/N7/P6P/Q1B1K1NR b - - 3 19,639
r2q1b1r/p1p1kp1p/4p3/1p1p4/6P1/NP2BQ2/P1P1nP2/K2R1B1R b - - 5 15,-186
1n3k2/2r3b1/pp2p1pB/4P3/PP2p3/3P4/5K2/3R4 w - - 2 36,-408
Qnb1k1nr/r3bppp/2p5/p2pp3/P4P2/6PK/RP1qP2P/1N3BNR w k - 0 13,-658
rn1qkbnr/ppp3B1/8/4pp1b/N2p4/3PP3/PPP2PPP/1R1QKBNR w Kkq - 0 8,-313
3qkb1r/p2pp1p1/b1Bn3p/5P2/2P5/7N/1P1PPP1P/1NBQ1K1R b k - 0 13,-229
1n6/5k1p/2p5/R7/p7/8/4K3/8 b - - 0 37,4
rn6/p3k3/pq3bp1/3P4/P1p3K1/1P1b3P/R6P/2B5 b - - 1 36,1298
2bqkbn1/1p1ppp2/n1p5/p4Pp1/3PP3/P1P5/4B3/RrrQK1R1 w Q - 0 16,-646
4k1nr/p3p2p/b2p2pb/n2B1p2/3P1PP1/1Q2P3/7P/1bB1K1R1 w k - 1 20,541
r1b4r/pp4kp/6pn/3PpB2/Pn1P3P/5N2/5PPR/RNB1K3 b Q - 0 16,42
6r1/2Qbkq2/5pp1/4b3/1P2p3/3P1P2/R5P1/4KB2 w - - 0 27,-480
8/8/4pk2/P4p2/R7/4P3/4K3/8 w - - 1 41,791
r3q3/p1p1p3/1B2bn2/1P1k1p1p/2p5/3P1N2/P3BPP1/R1K4R w - - 1 23,304
r1b1kbnr/1ppp2pp/p1n1pp2/1B6/8/1P2P2N/P1PP1PPP/RNBQK1R1 b Qkq - 2 7,-541
r1b1k1r1/pp1p3p/n4ppB/2NPp3/8/3K3P/PP2Pb1R/1R3BN1 b q - 0 15,466
4r3/1pk5/6p1/1N1P1p2/4B3/7P/5P1N/4K3 b - - 2 31,-171
2n5/6k1/8/p3p1pQ/6P1/P2BPP2/R2K4/8 b - - 2 39,-886
rn3kn1/3p4/b7/1p1p1P2/4P3/P1p4N/K4P1P/R4B1R b - - 1 24,-185
5r2/5k2/p5p1/1QPn3p/2R2P1P/6PB/3PP2R/5KN1 w - - 2 28,1207
rnbq1bnr/p1p1pkpp/8/1p1p1p2/8/PQP4P/1P1PPPP1/RNB1KBNR w KQ - 0 5,122
1n2kbnr/r1p1ppp1/7p/8/6b1/1P2P3/P1PP1PPP/RNBQK2R w k - 3 11,741
5Q2/2p2r2/p2pk3/4p2P/8/1P1p4/P7/1R1KB2b b - - 2 39,376
1rb5/P4krp/3pp3/2B5/Pn4P1/2K5/2P4b/RN5R w - - 0 22,614
r1b1kbr1/p2p1p1p/n1p4n/1p2p1P1/1PP1P1q1/B4Q2/P2PK3/RNN2B2 w q - 0 14,-536
1rk4r/p1p1ppb1/1p6/1P1p2Np/3P4/3RPP2/1PP3PR/1NB1K3 b - - 0 19,-643
5rkr/1Pp5/6p1/2n3Rb/4P3/2R5/8/4K3 b - - 0 28,417
r1bqkbnr/pp1pppp1/n7/2p4p/5P2/1P3N1P/P1PPP1P1/RNBQKB1R b KQkq - 1 4,-39
2b2r2/1pp1k1p1/2p4p/4BpP1/2B1P2P/5P1N/8/r2R1KR1 w - f6 0 35,730
8/1k5K/2p4P/1p1p4/3P1P2/7P/1r1N3R/7Q w - - 0 40,926
6nr/p2k3p/8/P1P1pp2/7P/4PK2/4RP2/1r4NR b - - 1 40,221
1n3r2/3k1p2/2rp3b/2p1pP2/2B1K3/6N1/P1PP2PP/R1BNR3 b - - 9 28,-637
5bn1/1p1b2p1/8/2P5/4R1k1/1P2n1Pr/8/4K3 b - - 4 35,788
r1bqkbnr/ppp1p2p/n4p2/1P1p2p1/8/3P3N/P1P1PPPP/RNBQKB1R w KQkq - 0 5,503
rn1qkbnr/ppp1pppp/3pb3/8/8/5P1N/PPPPP1PR/RNBQKB2 b Qkq - 3 4,142
rnb1k3/1p1p4/1Pp4P/5p2/8/3PP2B/R1PKP2P/BNQ1b2R w - - 3 21,1047
rn2k1nr/ppp1p2p/7b/1P3pp1/8/P1P1B3/1Kb1PP1P/RN3BN1 b kq - 0 12,558
r1b1k2r/2pp1p1p/n7/Np2p1q1/1n4P1/3P2K1/PP2P1P1/R1BQ1BNR w kq - 1 15,654
rn2kb1r/p3ppp1/2p4n/1B5Q/1P2pP2/7b/P1PN2PP/R1B1K1NR w KQkq - 0 9,720
5bnr/p3kp1N/b1R5/3p2P1/3r4/2Q1Pp2/1Pn2K1P/2B4R b - - 1 30,-471
4kbnr/5p2/p2p1q2/P5pp/3pP3/N7/P5PP/R1BRK3 w k - 0 23,-362
rnbqkbnr/1pppp2p/p7/5pp1/P7/2PP4/1P2PPPP/RNBQKBNR w KQkq - 0 4,243
2bk2nr/3n3p/B6b/5P2/r7/2NR1P1P/2K5/8 w - - 5 34,-458
r1b3nr/RpNpkpp1/2n1p2p/8/3q1N2/8/2PPPKPP/2BQ1B1R w - - 1 12,46
rnbqkbnr/4ppp1/3p4/Pp5p/3p3P/4P3/P1P1NPP1/R1BQKBNR w KQkq - 0 8,82
4k3/4r3/1P6/6p1/rp2N3/3K4/2P3P1/1nQ5 w - - 0 30,405
1nb1k1nr/8/2p2p1p/4p3/Q3p3/7P/N2P1K2/RRBN4 w - - 2 26,756
r1bqkbnr/pp1nppp1/7p/2pp4/PP3P2/6PB/2PPP2P/RNBQK1NR b KQkq - 0 5,196
4Q3/6k1/b7/RP3p2/8/4P3/5KPR/1N6 w - - 3 37,5000
2r4R/1k5p/1p4p1/p1p5/P7/8/1P1P2K1/1Rr5 w - - 0 33,439
r1bqkb1r/1ppppp1p/p6n/4n1p1/5P1P/1P6/P1PPP1P1/RN1QKBNR w KQkq - 0 6,-109
rn1k2r1/1p6/2p5/p1b1p3/4P3/1P1P1P2/2PK4/4RQ2 b - - 3 34,299
rnb1kbnr/pp1ppppp/2p5/q5B1/8/3P4/PPP1PPPP/RN1QKBNR w KQkq - 2 3,8
rn2kb2/5ppr/ppppb2R/P2nP3/1P4P1/8/R1PPP3/1NBQKBN1 b q - 1 12,-277
rn1q1knr/ppp1pp1Q/3p4/8/b1PP4/N7/1P1bPPPP/R3KBNR w KQ - 1 10,-725
rnbqk2r/ppppnpp1/8/4p2p/4P3/2N3P1/PPPPKb1P/R1BQ1BNR w kq - 2 7,267
1qb4r/1R1p3k/2p4p/8/3P4/5P2/3P3b/2K5 w - - 3 30,-773
5k1n/5p2/PpBp4/8/8/4P3/2P3K1/2Rq4 b - - 0 38,457
1nbq1bBk/2pp4/2r2p2/1p2p3/p1PP1P1p/4B2P/PP2N3/RK4R1 b - - 1 26,381
r1Q3r1/p1qnk1pp/2p5/5p2/2P3Pb/3PP3/PP1K3P/RNB2B1R w - - 1 16,839
r1b1kb1r/p3pppp/1p6/2Pq2B1/2P5/8/P3PPPP/RN2KBNR w KQkq - 2 10,582
rn6/pp2p3/5pbp/P1p1B3/2P1k3/4P3/R2K3R/8 w - - 0 28,8
rn3k1r/pp3p1p/1qp1b3/4p1P1/1P4P1/P7/4P3/RN2K3 w - - 0 22,-981
7r/3k1pN1/7n/8/3pP2b/5P2/4K2P/7R w - - 4 29,-234
r1bqk3/p1pp3p/n3pp2/3P4/P1B2NrP/b1N1P3/1PP5/R1BnK2R b KQq - 3 14,575
2b4r/rnP5/2np1p2/3k3p/1P1P1p1P/5P2/6BR/4K3 w - - 1 40,-772
r1bqk1nN/ppppp3/2n4p/8/3b4/3K4/PPP1P1PP/RNBQ1B1R w q - 6 9,187
rn3r2/5ppp/p1pk4/p7/P7/1PPP4/3K3P/4R2R b - - 0 25,438
2q1kb1r/3n3p/pp3ppn/4p1N1/6PP/2pPQ3/P3PP2/RNB1KB1R w KQk - 0 16,445
1nbqkbn1/r1pp2p1/1p2p3/p3P1P1/6P1/N7/PPP1PP2/R2QKB1r w Q - 1 10,-614
2bqk1n1/1ppp3r/6pb/4p3/R1P1P1P1/8/1P1P1P2/1NBK2N1 w - - 0 15,-622
r3kbnr/1ppb1ppp/8/p3qP2/2P5/NP2PN1P/n5P1/R1BK1B1R b kq - 1 12,991
2bq1k1r/r5bp/np1p1p2/p1p3P1/P2PP1R1/8/1PPB3P/RN1QKB2 w - - 0 20,248
rnbqkbnr/ppp1pp1p/6p1/3p4/5P2/1P6/P1PPP1PP/RNBQKBNR b KQkq - 0 3,136
rnb1kbnr/1p1ppppp/p2q4/2p5/P1P5/1Q1P3P/1P2PPP1/RNBK1BNR b kq - 0 6,24
6rk/p2b3p/8/3p2n1/PP3P1P/4P3/8/R2K3R w - - 1 37,441
rnbqk3/pppp4/5n1p/8/3Pp3/P1PQ2P1/P3PP2/R3KBNR b KQq - 0 10,427
1n2r3/1b4k1/1pp3p1/3npp1p/8/2P2P2/6PP/4KBNR w K - 0 21,-632
1rB2b2/k7/5p2/8/2P4P/1P3br1/3P4/2B2K2 w - - 5 31,-545
2k5/pp3n2/8/3r2pp/PP6/3K1P1P/3P4/5R1R w - - 7 37,410
4kb2/p1r2p1r/1q3n1B/2p2N1p/8/2P2bQ1/1P2PP2/1R3KNR b - - 0 19,262
rn2kb1r/p1pqpppp/bp1p1n2/1B6/8/2N1PPP1/PPPP3P/R1BQK1NR w KQkq - 2 6,524
rnbqk2r/pp1ppp1p/2p4b/6p1/1P6/2N4P/P1PPPPP1/R1BQKB1R w KQkq - 0 8,127
r1bqkb1r/pppppp1p/n5p1/8/6n1/1PNBP3/P1PP1P1P/R1BQK1NR b KQkq - 1 5,145
6n1/1p2p3/3kb3/r1p1b3/2P1P3/7p/P1B5/1RB1K3 b - - 8 36,698
rn2kbnr/pp2p1pp/5p2/3p4/8/4P2P/PPPP1K1P/R1BQ1B1R b kq - 0 8,-661
1r1qkb2/p1pp4/bpn2np1/8/4P3/2N5/PPPP4/1RB1K1R1 b - - 1 14,797
1r4kr/4n1pp/8/1bp1p2P/4P3/6P1/P7/2R1K2R b - - 2 26,546
r1b4r/p1B2k1p/np6/3P1nP1/8/2N2q2/P1PP2P1/R2QK1NR w KQ - 3 15,742
8/k3p1b1/4r1p1/4p2P/p3P3/1N5P/6BK/6R1 w - - 0 38,385
rnbqkbnr/1pppp1pp/p4p2/8/8/2P4N/PP1PPPPP/RNBQKB1R w KQkq - 0 3,110
8/1B1br3/p5k1/2P5/8/P1P4p/5K2/RN6 b - - 4 37,-195
rnbqkbnr/pp2p1p1/2p5/3P1p1p/PP6/5PP1/3PP2P/RNBQKBNR b KQkq - 0 6,48
5r1k/7p/4p3/6p1/P2K4/2P5/1BP3b1/5n1B w - - 4 39,-136
r7/p2p1r2/b3N1k1/4P1p1/8/7N/7P/4K3 b - - 2 33,780
1rb1k3/1pp2p1p/4p2P/p2nP3/7K/N3B3/PPP1P2P/R2Q2NR w - - 0 17,877
5r2/3k4/3p1p2/n3p3/Pb2P1P1/7P/3K3R/R2N2N1 w - - 3 37,420
2r3kr/pp3p1p/1B3Qpn/4pn2/P3N3/2P2P2/1P2K2P/R4BNR w - - 3 23,848
