fen,eval_cp
rnbqk1nr/ppppppb1/8/6p1/P6p/7N/RPPPPPPP/1NBQKB1R w Kkq - 0 6,-10
rnbqkb1r/pp1ppppp/7n/2p5/8/1PP5/P2PPPPP/RNBQKBNR w KQkq - 0 3,22
r1b1kbnr/1p1p3p/n7/2p2p2/p2P4/1P2P1KP/P1P1q1P1/R1BQ2NR w kq - 2 15,377
3r4/r2bn2p/n3pk2/ppp3p1/6P1/1P5P/P1PPP2R/3R1BK1 b - - 0 24,554
rn1qkbnr/1ppbp1pp/p7/1P1p1p2/3B1P2/6P1/P1PPP2P/RN1QKBNR w KQkq - 0 7,-24
rn1qkb1r/pbpppppp/1p3n2/8/7P/N3PP2/PPPP2P1/R1BQKBNR b KQkq - 0 4,115
r1bqkb1r/1ppnnp1p/p5p1/4p3/P1p1P2P/8/1PPPNPP1/R1BQKBR1 w Qkq - 0 8,-542
8/2pk4/4pp2/8/b7/8/1R4P1/4K3 b - - 3 35,12
rnbqkb2/pppp1ppr/4pn1p/8/2P3Q1/NP2P3/P2P1PPP/R1B1KBNR b KQq - 1 5,687
3r4/1ppk1b2/7n/p3p3/P3P2R/3K4/1PP5/2BN4 b - - 1 29,-2
r4b1r/3k4/2R1pnpp/1p1p4/1n4PP/8/2PPP1B1/2BQK1NR w K - 2 16,410
4k1nr/p1p1p3/2p1b1pb/P4p1p/7r/2N3PB/3BPP2/1R1QK1NR w K - 5 16,936
4qbn1/3kn1pr/3p1B2/2p5/4P1pP/3P1P1N/r1P5/R3KB1R b K - 1 20,526
rnb1k2r/p1p2ppp/1p2p2n/3p4/1P1P4/1PP1P3/5qP1/RN1QKBNR w KQkq - 0 9,666
rn2R3/1p6/2p1bk2/p1P5/P7/8/3K4/8 w - - 5 40,-452
rnb1kbr1/pp1ppp1p/7n/q1p5/2PP1p2/N4N2/PP2P1PP/R1BQKB1R w KQq - 4 9,72
2k2b2/4p1p1/P7/5p1P/3P4/8/1B6/1N2K3 w - - 1 33,488
rn6/2k1B3/pp5n/3r3p/1P6/2K4P/5P2/R4b2 b - - 0 37,730
rnb1kbnr/p2ppp1p/2q3p1/1pp5/PPP5/2N3P1/3PPP1P/1RBQKBNR b Kkq - 6 8,243
3nkbnr/4p1p1/1P6/1p6/4p1pP/8/3K1P2/RNB4R b - - 0 29,-272
rnbqkbn1/p1ppppp1/1p5r/7Q/P3P3/1P6/2PP1PPP/RNB1KBNR b KQq - 0 4,644
rnb1kbnr/p1qp1p2/2p1p2p/1p2P1p1/2B5/2N2P2/PPPPQKPP/R1B3NR b kq - 1 8,416
8/3k1p2/n3pp2/3P4/1P3K2/8/r7/RN6 b - - 0 33,575
rnq4r/pbpkb2p/1p1p1B2/4p3/3P2P1/2Np1P1P/PPP4Q/1R2K1NR w K - 0 15,11
r1bqkb1r/pppppppp/2n4n/8/P6P/5N2/1PPPPPP1/RNBQKB1R b KQkq - 0 3,30
bn3r2/2n2k2/6p1/p2N1pq1/2P5/P3P3/2p2KP1/5B2 b - - 0 27,988
rnbqkbnr/pppp1pp1/8/7p/4p3/N7/PPPPPPPP/R1BQKBNR w KQkq - 0 4,-50
3k3r/7p/b3r3/2PpQp2/p7/1P3PP1/3P3R/1N2K1N1 b - - 3 30,302
3qkbn1/rp1n3r/2p1pp2/6P1/p1pP2Np/7P/PP2P1P1/RNBK1B1R w - - 0 16,-608
4k3/r2nb1pn/8/3pRp2/P2r2Bq/3PB3/1P2P2P/3K2NR b - - 2 22,761
8/R7/6P1/8/P1N2k2/B1P5/3P4/3K3R w - - 0 36,5000
5k1n/p5p1/8/4pp2/1r1P4/4N1KP/3R4/7b w - - 2 40,-401
8/1p4b1/7B/p1k5/P2p1np1/8/K4PP1/8 b - - 7 39,769
r3kbnr/p1pnq3/4pp2/7R/4bP2/8/PBP1N3/RN2K3 b Qkq - 0 16,1041
rn2k3/3R2p1/2p5/1p2bprR/4P1n1/1P1P2P1/4B1P1/1N3K2 b - - 4 22,788
6kr/n2pp2p/K5qQ/2p5/4P3/N2P4/1RP2P2/5BR1 w - - 6 32,5000
2b1k1nr/r7/p6p/4PpN1/8/p6P/2n1P1P1/3K1BBR w - - 0 25,-564
r6r/3k1b1p/1p4nR/4Pp2/P2P4/N5P1/2P1P3/R2QKB2 b Q - 6 22,-731
6n1/Q2pk2r/1Pn2pp1/p3p2p/6P1/P1N4B/5P1P/R1b2K1R w - - 0 28,864
B2qkb1r/p4ppp/6n1/1p6/8/1P1n2P1/PBbP1P1P/R2QK1NR w KQk - 2 14,-525
rnbqk1nr/1pp2pbp/3pp3/p7/8/2N4N/PPPPPPPP/1RBQKB1R w Kkq - 2 6,157
4k3/6p1/1p2p1n1/8/1P6/N4P1p/5K1P/R7 b - - 5 38,-507
1R6/1r1k4/4p3/8/2P1Np2/1p1K4/6P1/4BR2 w - - 0 40,858
1r2k3/pB1pbp1p/b7/1P3p2/2Q2n2/2P5/R3P2P/1N3K1R b - - 1 24,-568
rnb1k2r/Q3pp1p/2P2n1B/8/8/2P2q1p/P1P1PP1R/R2K1BN1 b kq - 2 19,290
r1b3n1/pp1p1k2/n1p5/4q3/1bP5/4P2R/PP1Q2P1/RNB1K3 b Q - 0 13,529
rn3kn1/1p3p2/2p3P1/p3p3/8/2P1q2R/1P2PN2/R1B3K1 b - - 0 21,272
1n3rk1/4p3/1r6/p1ppP1Pp/1P4nP/P5PK/5q1B/4R3 b - - 2 34,5000
1n2kbn1/1r2p3/8/p2p4/1P1P1Bp1/3p2PN/P6P/RN3K1R w - - 2 25,497
1nb1k1nr/8/rpp1p3/p4p1p/P4N2/2P4P/1P1qPPP1/RNBK1BR1 w - - 0 16,583
r1bqkb1r/pppppppp/n4n2/8/P4P2/7N/1PPPP1PP/RNBQKB1R b KQkq - 0 3,61
